Date,Open,High,Low,Close,Adj Close,Volume
2015-07-20,25.365999,27.000000,25.365999,26.000000,22.631830,13713
2015-07-21,25.232000,26.799999,25.232000,26.000000,22.631830,42550
2015-07-22,26.000000,26.000000,26.000000,26.000000,22.631830,0
2015-07-23,26.459999,26.459999,26.459999,26.000000,22.631830,5857
2015-07-24,26.000000,26.000000,26.000000,26.000000,22.631830,0
2015-07-27,27.000000,28.000000,25.000000,27.000000,23.502287,235575
2015-07-28,27.000000,27.000000,27.000000,27.000000,23.502287,0
2015-07-29,26.480000,27.947001,26.480000,27.000000,23.502287,3501
2015-07-30,27.950001,27.950001,27.950001,27.000000,23.502287,1023
2015-07-31,27.000000,27.000000,27.000000,27.000000,23.502287,0
2015-08-03,26.480000,27.950001,26.480000,27.250000,23.719900,12668
2015-08-04,26.980000,26.980000,26.980000,27.250000,23.719900,4169
2015-08-05,27.950001,27.950001,27.950001,28.000000,24.372742,20559
2015-08-06,28.469999,30.000000,28.299999,29.500000,25.678423,7925
2015-08-07,30.000000,31.975000,29.200001,31.000000,26.984106,59858
2015-08-10,31.770000,36.500000,31.770000,35.500000,30.901155,89809
2015-08-11,36.500000,38.000000,34.750000,37.000000,32.206837,53085
2015-08-12,37.000000,42.000000,30.400000,33.250000,28.942631,166415
2015-08-13,32.599998,35.820000,32.599998,35.250000,30.683538,37678
2015-08-14,34.605000,34.605000,34.000000,34.500000,30.030701,11973
2015-08-17,35.650002,36.799999,35.650002,36.000000,31.336380,20031
2015-08-18,36.799999,36.799999,35.400002,36.250000,31.553999,13345
2015-08-19,37.099998,37.700001,37.099998,36.750000,31.989223,26271
2015-08-20,37.650002,37.650002,37.650002,37.250000,32.424454,2656
2015-08-21,35.955002,35.955002,34.120998,35.500000,30.901155,25773
2015-08-24,34.450001,34.450001,34.139999,34.000000,29.595470,6500
2015-08-25,34.799999,36.750000,34.799999,36.000000,31.336380,10665
2015-08-26,35.450001,36.660000,35.450001,36.000000,31.336380,4000
2015-08-27,36.000000,36.000000,36.000000,36.000000,31.336380,0
2015-08-28,36.000000,36.000000,36.000000,36.000000,31.336380,0
2015-09-01,36.660000,36.660000,36.660000,36.000000,31.336380,2700
2015-09-02,38.000000,38.000000,38.000000,36.250000,31.553999,26315
2015-09-03,37.000000,43.000000,37.000000,41.000000,35.688656,113720
2015-09-04,41.799999,41.799999,37.099998,37.500000,32.642067,75196
2015-09-07,38.549999,38.549999,36.000000,36.500000,31.771610,24543
2015-09-08,35.000000,35.000000,34.000000,34.000000,29.595470,40000
2015-09-09,31.600000,34.849998,31.600000,34.000000,29.595470,67755
2015-09-10,34.000000,34.000000,34.000000,34.000000,29.595470,0
2015-09-11,34.950001,34.950001,34.950001,34.250000,29.813084,11352
2015-09-14,35.200001,36.700001,35.000000,36.000000,31.336380,42499
2015-09-15,36.849998,36.849998,36.849998,36.000000,31.336380,2713
2015-09-16,36.849998,36.849998,35.500000,36.000000,31.336380,10579
